1,Aïn Defla,Ain Benian
2,Aïn Defla,Ain Bouihi
3,Aïn Defla,Ain Defla
4,Aïn Defla,Ain Lechiakh
5,Aïn Defla,Ain Soltane
6,Aïn Defla,Ain Tork
7,Aïn Defla,Arib
8,Aïn Defla,Barbouche
9,Aïn Defla,Bathia
10,Aïn Defla,Belaas
11,Aïn Defla,Ben Allal
12,Aïn Defla,Bir Ould Khelifa
13,Aïn Defla,Bordj Emir Khaled
14,Aïn Defla,Boumedfaa
15,Aïn Defla,Bourached
16,Aïn Defla,Djelida
17,Aïn Defla,Djemaa Ouled Cheikh
18,Aïn Defla,Djendel
19,Aïn Defla,El Abadia
20,Aïn Defla,El Amra
21,Aïn Defla,El Attaf
22,Aïn Defla,El Hassania
23,Aïn Defla,El Maine
24,Aïn Defla,Hammam Righa
25,Aïn Defla,Hoceinia
26,Aïn Defla,Khemis Miliana
27,Aïn Defla,Mekhatria
28,Aïn Defla,Miliana
29,Aïn Defla,Oued Chorfa
30,Aïn Defla,Oued Djemaa
31,Aïn Defla,Rouina
32,Aïn Defla,Sidi Lakhdar
33,Aïn Defla,Tacheta Zegagha
34,Aïn Defla,Tarik Ibn-Ziad
35,Aïn Defla,Tiberkanine
36,Aïn Defla,Zeddine
37,Aïn Témouchent,Aghlal
38,Aïn Témouchent,Ain El Arbaa
39,Aïn Témouchent,Ain Kihel
40,Aïn Témouchent,Ain Temouchent
41,Aïn Témouchent,Ain Tolba
42,Aïn Témouchent,Aoubellil
43,Aïn Témouchent,Beni Saf
44,Aïn Témouchent,Bou Zedjar
45,Aïn Témouchent,Chaabet El Ham
46,Aïn Témouchent,Chentouf
47,Aïn Témouchent,El Amria
48,Aïn Témouchent,El Malah
49,Aïn Témouchent,El Messaid
50,Aïn Témouchent,Emir Abdelkader
51,Aïn Témouchent,Hammam Bouhadjar
52,Aïn Témouchent,Hassasna
53,Aïn Témouchent,Hassi El Ghella
54,Aïn Témouchent,Oued Berkeche
55,Aïn Témouchent,Oued Sebbah
56,Aïn Témouchent,Ouled Boudjemaa
57,Aïn Témouchent,Ouled Kihel
58,Aïn Témouchent,Oulhaca El Gheraba
59,Aïn Témouchent,Sidi Ben Adda
60,Aïn Témouchent,Sidi Boumediene
61,Aïn Témouchent,Sidi Ouriache|Tadmaya
62,Aïn Témouchent,Sidi Safi
63,Aïn Témouchent,Tamzoura
64,Aïn Témouchent,Terga
65,Adrar,Adrar
66,Adrar,Akabli
67,Adrar,Aougrout
68,Adrar,Aoulef
69,Adrar,Bordj Badji Mokhtar
70,Adrar,Bouda
71,Adrar,Charouine
72,Adrar,Deldoul
73,Adrar,Fenoughil
74,Adrar,In Zghmir
75,Adrar,Ksar Kaddour
76,Adrar,Metarfa
77,Adrar,Ouled Ahmed Temmi
78,Adrar,Ouled Aissa
79,Adrar,Ouled Said
80,Adrar,Reggane
81,Adrar,Sali
82,Adrar,Sebaa
83,Adrar,Talmine
84,Adrar,Tamantit
85,Adrar,Tamekten
86,Adrar,Tamest
87,Adrar,Timiaouine
88,Adrar,Timmimoun
89,Adrar,Tinerkouk
90,Adrar,Tit
91,Adrar,Tsabit
92,Adrar,Zaouiet Kounta
93,Alger,Ain Benian
94,Alger,Baraki
95,Alger,Birtouta
96,Alger,Bordj El Kiffan
97,Alger,Bouzareah
98,Alger,Cheraga
99,Alger,Dar El Beida
100,Alger,Djasr Kasentina
101,Alger,Douera
102,Alger,Draria
103,Alger,El Achour
104,Alger,Haraoua
105,Alger,Khraicia
106,Alger,Kouba
107,Alger,Les Eucalyptus
108,Alger,Mahelma
109,Alger,Ouled Chebel
110,Alger,Ouled Fayet
111,Alger,Reghaia
112,Alger,Rouiba
113,Alger,Saoula
114,Alger,Sidi Moussa
115,Alger,Souidania
116,Alger,Staoueli
117,Alger,Tessala-El-Merdja
118,Alger,Zeralda
119,Annaba,Ain El Berda
120,Annaba,Annaba
121,Annaba,Berrahal
122,Annaba,Chetaibi
123,Annaba,Chorfa
124,Annaba,El Bouni
125,Annaba,El Eulma
126,Annaba,El Hadjar
127,Annaba,Oued El Aneb
128,Annaba,Seraidi
129,Annaba,Sidi Amar
130,Annaba,Treat
131,Béchar,Abadla
132,Béchar,Bechar
133,Béchar,Beni Abbes
134,Béchar,Beni Ikhlef
135,Béchar,Beni Ounif
136,Béchar,Boukais
137,Béchar,El Ouata
138,Béchar,Erg Ferradj
139,Béchar,Igli
140,Béchar,Kenadsa
141,Béchar,Kerzaz
142,Béchar,Ksabi
143,Béchar,Lahmar
144,Béchar,Mechraa Houari Boumediene
145,Béchar,Meridja
146,Béchar,Mogheul
147,Béchar,Ouled Khoudir
148,Béchar,Tabelbala
149,Béchar,Taghit
150,Béchar,Tamtert
151,Béchar,Timoudi
152,Béjaïa,Adekar
153,Béjaïa,Ait-Smail
154,Béjaïa,Ait R'Zine
155,Béjaïa,Akbou
156,Béjaïa,Akfadou
157,Béjaïa,Amalou
158,Béjaïa,Amizour
159,Béjaïa,Aokas
160,Béjaïa,Bejaia
161,Béjaïa,Beni-Mellikeche
162,Béjaïa,Beni Dejllil
163,Béjaïa,Beni K'Sila
164,Béjaïa,Benimaouche
165,Béjaïa,Berbacha
166,Béjaïa,Boudjellil
167,Béjaïa,Bouhamza
168,Béjaïa,Boukhlifa
169,Béjaïa,Chellata
170,Béjaïa,Chemini
171,Béjaïa,Darguina
172,Béjaïa,Draa El Caid
